TEAM,SEED,REGION,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
Cal Baptist,13,east,WAC,33.0,25.0,107.5,100.3,0.6888,48.6,46.6,18.1,17.1,37.8,27.2,36.1,37.1,47.7,47.3,33.7,29.7,65.9,-2.3,,26.0
North Dakota St.,14,east,Sum,34.0,27.0,111.5,106.0,0.6393,53.4,51.5,15.6,18.7,33.6,25.7,30.7,29.1,53.2,52.6,35.7,33.5,66.4,-3.4,,26.0
Furman,15,east,SC,34.0,22.0,106.9,109.0,0.444,54.8,50.1,17.8,13.7,31.0,27.5,32.1,28.9,59.0,50.9,33.3,32.6,65.8,-8.7,,26.0
Siena,16,east,MAAC,34.0,23.0,107.2,108.9,0.4548,50.6,48.6,16.0,17.1,31.9,29.0,34.2,27.2,52.8,48.2,30.4,32.8,64.6,-7.8,,26.0
Florida,1,south,SEC,33.0,26.0,126.1,92.3,0.9732,53.5,46.3,16.5,15.4,43.2,24.8,39.1,34.0,57.9,45.2,30.8,32.4,70.4,8.5,,26.0
Houston,2,south,B12,34.0,28.0,125.4,92.4,0.971,52.1,46.6,13.0,21.0,35.9,30.9,26.9,39.0,51.9,45.5,34.9,32.1,63.3,9.0,,26.0
Illinois,3,south,B10,32.0,24.0,131.9,98.2,0.9676,55.1,47.6,13.2,11.6,38.7,27.0,32.9,20.6,58.2,48.0,34.7,31.4,65.7,6.6,,26.0
Nebraska,4,south,B10,32.0,26.0,117.2,93.5,0.9313,55.4,47.8,14.4,19.2,26.3,27.7,27.2,24.8,58.1,50.6,35.3,29.9,66.8,7.5,,26.0
Vanderbilt,5,south,SEC,34.0,26.0,127.4,99.3,0.9462,55.3,48.8,13.3,17.9,31.2,31.6,38.2,41.0,56.8,49.1,35.5,32.2,69.0,7.3,,26.0
North Carolina,6,south,ACC,32.0,24.0,121.5,100.0,0.903,54.6,48.2,14.0,13.6,31.4,28.1,37.4,23.8,56.7,46.1,34.5,34.5,68.0,4.9,,26.0
Saint Mary's,7,south,WCC,32.0,27.0,119.4,97.6,0.9105,52.9,46.7,16.4,15.2,37.6,23.8,35.8,25.7,50.2,46.6,38.6,31.2,65.3,4.0,,26.0
Clemson,8,south,ACC,34.0,24.0,116.5,96.9,0.8925,52.6,48.9,14.2,17.5,28.1,25.7,37.1,33.1,53.8,49.0,34.1,32.6,64.3,3.2,,26.0
Iowa,9,south,B10,33.0,21.0,122.1,100.2,0.907,56.6,52.7,15.2,21.0,30.1,28.0,34.5,39.1,58.7,54.0,35.7,33.7,63.0,1.9,,26.0
Texas A&M,10,south,SEC,32.0,21.0,119.9,101.4,0.873,54.2,50.8,14.6,18.3,32.3,32.5,37.4,35.6,54.1,53.1,36.2,31.7,71.0,1.6,,26.0
