TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
St. Bonaventure,A10,34,22,105.7,99.4,0.6675,49.9,50.0,15.9,18.9,27.6,27.0,30.6,24.4,51.5,50.8,31.3,32.7,64.7,-4.2,,,2022
Akron  ,MAC,35,28,113.5,106.9,0.6659,54.9,50.1,16.4,17.3,32.5,29.4,27.0,33.1,55.2,51.0,36.4,32.4,71.5,-1.6,,,2022
Notre Dame,ACC,33,15,110.4,104.1,0.6625,51.7,51.4,16.5,14.9,29.6,26.0,31.8,30.0,50.8,53.6,35.5,32.1,64.9,-7.1,,,2022
Georgia Tech,ACC,34,17,106.9,100.9,0.6588,50.2,49.3,17.4,15.8,30.3,28.6,30.7,28.1,49.5,46.9,34.3,35.1,69.0,-5.2,,,2022
Washington St.,WCC,34,19,113.1,106.9,0.6563,56.6,51.2,20.3,17.1,31.1,33.6,32.7,32.1,58.2,51.7,36.2,33.6,71.0,-4.7,,,2022
Northern Iowa,MVC,33,20,108.6,102.9,0.6504,55.2,51.4,15.9,17.4,24.9,25.3,35.1,28.2,55.2,50.0,36.8,35.6,65.4,-6.2,,,2022
New Mexico St.,CUSA,32,17,104.8,99.3,0.6496,46.2,46.9,15.6,15.0,32.5,27.7,34.5,39.2,46.1,48.8,30.9,29.5,65.0,-8.4,,,2022
Lipscomb  ,ASun,35,25,110.0,104.3,0.6477,55.6,49.1,14.7,15.9,23.7,26.6,31.2,22.0,56.5,50.5,36.4,31.2,66.4,-4.1,,,2022
Providence,BE,32,12,110.8,105.1,0.6468,52.1,49.5,19.0,13.8,33.2,28.7,29.6,32.8,51.1,49.0,35.6,33.5,66.5,-8.5,,,2022
UNC Wilmington  ,CAA,35,27,112.3,106.7,0.6447,52.1,50.8,16.0,17.1,35.1,28.2,37.4,30.4,53.7,50.7,32.8,34.0,65.7,-3.2,,,2022
Syracuse,ACC,33,14,111.0,105.6,0.6402,51.0,52.9,17.9,14.0,31.4,26.1,33.1,33.0,51.9,53.6,32.8,34.5,68.4,-7.8,,,2022
Washington,B10,31,13,109.8,104.5,0.6372,50.6,53.0,17.5,16.7,27.5,28.5,34.5,36.2,50.1,53.3,34.4,35.1,68.0,-4.9,,,2022
St. Thomas,Sum,34,24,114.1,108.9,0.6301,57.8,52.5,13.7,18.5,21.5,31.2,34.0,35.9,58.1,52.1,38.3,35.4,68.1,-5.1,,,2022
Kent St.,MAC,36,24,106.5,101.7,0.6293,48.7,48.4,17.3,18.3,35.3,27.6,30.2,37.9,49.8,49.6,31.2,31.2,66.4,-5.7,,,2022
