TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,games_won
North Carolina A&T,MEAC,R64,36,19,0.5277777777777778,90.6,95.7,0.3459,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32.0,66.9,-11.5,16,0,2013,1,0,0,0,0,0,0,1
Gonzaga,WCC,R32,34,31,0.9117647058823529,118.9,90.2,0.9599,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55.0,42.1,36.5,32.9,65.1,7.6,1,0,2013,1,1,0,0,0,0,0,2
Ohio St.,B10,E8,37,29,0.7837837837837838,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,2,1,2013,1,1,1,1,0,0,0,4
New Mexico,MWC,R64,35,29,0.8285714285714286,107.0,91.1,0.8641,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42.0,35.1,34.6,65.4,6.9,3,0,2013,1,0,0,0,0,0,0,1
Kansas St.,B12,R64,34,26,0.7647058823529411,113.4,94.5,0.8896,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,63.0,5.4,4,1,2013,1,0,0,0,0,0,0,1
Wisconsin,B10,R64,35,23,0.6571428571428571,107.2,84.3,0.9406,48.6,43.0,15.7,18.0,32.6,26.9,29.7,25.7,48.0,42.8,33.0,28.9,61.9,4.6,5,1,2013,1,0,0,0,0,0,0,1
Arizona,P12,S16,35,27,0.7714285714285715,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,6,1,2013,1,1,1,0,0,0,0,3
Notre Dame,BE,R64,35,25,0.7142857142857143,112.9,95.4,0.8748,52.2,46.8,17.6,16.0,34.0,29.5,32.0,24.6,50.6,45.9,37.0,32.5,61.7,3.9,7,1,2013,1,0,0,0,0,0,0,1
Pittsburgh,BE,R64,33,24,0.7272727272727273,112.8,91.1,0.9217,51.7,44.6,18.1,22.0,40.4,30.0,37.5,36.4,51.5,44.0,34.9,30.4,60.3,3.1,8,1,2013,1,0,0,0,0,0,0,1
Wichita St.,MVC,F4,39,30,0.7692307692307693,110.6,91.0,0.9045,50.0,45.3,19.4,20.0,38.0,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65.0,2.2,9,0,2013,1,1,1,1,1,0,0,5
Iowa St.,B12,R32,35,23,0.6571428571428571,117.2,98.3,0.8828,53.8,48.0,18.5,18.6,34.2,28.5,33.0,32.7,51.9,48.8,37.4,31.1,69.6,0.7,10,1,2013,1,1,0,0,0,0,0,2
